Time,Brightness,Face Coordinates,Face Area,Approximate Distance (cm)
1713275441.593935,121.33453667534722,"(436, 115, 331, 331)",109561,42.29607250755287
1713275442.694592,122.16796549479167,"(437, 105, 326, 326)",106276,42.94478527607362
1713275443.6990132,121.68852756076389,"(449, 105, 312, 312)",97344,44.87179487179487
1713275444.8977358,119.798896484375,"(440, 101, 311, 311)",96721,45.01607717041801
1713275446.0272799,126.6920431857639,"(441, 77, 326, 326)",106276,42.94478527607362
1713275447.1710231,125.67992621527777,"(461, 154, 297, 297)",88209,47.138047138047135
1713275448.234439,128.878447265625,"(463, 144, 303, 303)",91809,46.20462046204621
1713275449.258834,128.63179253472222,"(461, 144, 298, 298)",88804,46.97986577181208
1713275450.434649,128.98476671006944,"(458, 147, 302, 302)",91204,46.35761589403973
1713275451.440525,128.75436740451389,"(452, 142, 305, 305)",93025,45.90163934426229
1713275452.568384,128.478525390625,"(452, 138, 310, 310)",96100,45.16129032258065
1713275453.5944698,128.44576822916667,"(456, 143, 307, 307)",94249,45.60260586319218
1713275454.604918,128.4222927517361,"(450, 142, 307, 307)",94249,45.60260586319218
1713275455.6348228,128.59277126736112,"(452, 145, 304, 304)",92416,46.05263157894737
1713275456.7502332,128.5481488715278,"(453, 143, 302, 302)",91204,46.35761589403973
1713275457.785871,128.81894205729168,"(451, 143, 307, 307)",94249,45.60260586319218
1713275458.907682,128.56766384548612,"(453, 144, 303, 303)",91809,46.20462046204621
1713275459.936616,128.48135091145832,"(448, 144, 306, 306)",93636,45.751633986928105
1713275460.9720252,128.6507638888889,"(453, 145, 297, 297)",88209,47.138047138047135
1713275462.006888,128.68835394965276,"(454, 143, 304, 304)",92416,46.05263157894737
1713275463.076858,128.93469075520832,"(452, 143, 308, 308)",94864,45.45454545454545
1713275464.198657,129.1114670138889,"(446, 143, 309, 309)",95481,45.30744336569579
1713275465.2200582,128.84568684895834,"(451, 142, 303, 303)",91809,46.20462046204621
1713275466.2836428,129.04322265625,"(454, 146, 302, 302)",91204,46.35761589403973
1713275467.402472,130.08314561631946,"(455, 145, 301, 301)",90601,46.51162790697674
1713275468.565244,129.24314344618057,"(453, 141, 306, 306)",93636,45.751633986928105
